ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number,
1,1,23,593,190,1.127843898,0.810820414,1,0.821428571,0.809293423,7.108968494,6.32455532,2,1.314897421,1,3,4.16084383,-78.5601276,18.898,0.958333333,0.732112738,0.145171644,0.070028175,0.131242528,0.043945213,0.074364711,0.086580289,0.066513819,0.040066605,0.039884114,0.042759101,0.020256617,0.105678882,0.084902263,0.04423037,0.033457382,0.041758387,0.018923125,0.043541844,0.008165986,0.094156064,0.09165622,0.067742131,0.036156721,0.042435205,0.030058862,0.016683776,0.060218842,0.029439813,0.025046836,592.4782609,189.6521739,1,
1,2,12,584,196,1.029017038,0.585027682,1,0.75,0.761733254,4.448135068,3.605551275,2,1.152368927,1,2.828427125,3.607496808,-55.27802261,14.07,1.090909091,0.969620884,0.148709414,0.025766149,0.138887436,0.089860118,0.10911432,0.102876828,0.082262321,0.136137908,0.056688661,0.156606247,0.055201179,0.149905868,0.038426322,0.203558959,0.117510922,0.126943859,0.182901506,0.062885032,0.131375105,0.165722653,0.07093592,0.20313568,0.22095877,0.088242631,0.229420162,0.157545518,0.03482756,0.277864259,0.009979488,584.0833333,196.3333333,2,
1,3,14,592,197,1.110548423,0.811357891,1,0.933333333,0.80015246,5.530730282,4.472135955,2,1.172443826,1,2,3.232986823,82.83864001,14.828,1,0.891267681,0.063661977,1.41E-16,0.222361727,0.063661977,0.063661977,0.157881704,0.14425304,0.061168527,0.063661977,0.063661977,0.063661977,0.244461993,0.089706932,0.061168527,0.115762615,0.063661977,0.063661977,0.063661977,0.063661977,0.157881704,0.07932004,0.152250013,0.219026123,0.107551749,0.063661977,0.063661977,0.063661977,0.063661977,0.063661977,592.0714286,197.8571429,3,
1,4,18,574,200,1.181868018,0.78174891,1,0.6,0.808533808,6.340788053,5.385164807,2,1.170614878,1,3.130495168,3.954073138,-30.82985678,16.726,1.028571429,0.774480882,0.202192415,0.040000009,0.107354858,0.020578328,0.061040959,0.140931823,0.038929854,0.078376282,0.052106696,0.07431934,0.072267389,0.109654408,0.064852341,0.09288586,0.06745551,0.066169836,0.102032773,0.099798602,0.047908472,0.146551727,0.095863686,0.075387754,0.105043707,0.023059742,0.052584439,0.092600402,0.14206214,0.061652611,0.076292127,574.0555556,200,4,
1,5,14,552,204,1.048724078,0.472542845,1,0.7,0.733789638,4.676421604,4.123105626,2,1.160188621,1,3,4.121366362,81.09055554,15.484,0.933333333,0.90624697,0.015267222,0.031985187,0.122265721,0.015391344,0.130585526,0.079118542,0.106166671,0.096936074,0.025982781,0.107717384,0.095132734,0.175017806,0.100094718,0.108690579,0.021671911,0.076495299,0.130319072,0.178428181,0.089591021,0.135819781,0.123062333,0.063613036,0.020832693,0.123008663,0.094019245,0.112625991,0.1779025,0.181263793,0.110821312,552.2142857,203.7857143,5,
1,6,15,569,204,0.982969435,0.485259414,1,0.9375,0.857306208,4.702255148,4.242640687,2,1.227614237,1,3,4.11151192,-45,14.828,0.967741935,1.061032954,0.07073553,0.055016524,0.07073553,0.07073553,0.07073553,0.055016524,0.07073553,0.166796127,0.07073553,0.07073553,0.07073553,0.117116303,0.07073553,0.27857573,0.07073553,0.07073553,0.07073553,0.07073553,0.07073553,0.315835598,0.07073553,0.234415887,0.07073553,0.166796127,0.07073553,0.07073553,0.07073553,0.07073553,0.07073553,569.4,203.4,6,
1,7,14,589,204,0.97316099,0.201411096,1,0.875,0.943389164,4.293312161,3.605551275,2,1.202030509,1,3,4.205328454,90,13.656,0.933333333,1.234062943,0.077310343,0.257661494,0.010848905,0.103001165,0.167228219,0.287704615,0.061254587,0.066053141,0.108929816,0.274602678,0.10596549,0.298104157,0.197141936,0.11527764,0.160258227,0.029546697,0.338265244,0.094600722,0.159051297,0.304603427,0.235130664,0.098681037,0.193559516,0.034621458,0.073087586,0.315685292,0.005301063,0.338867777,0.155835559,588.7142857,204.5,7,
1,8,17,542,206,1.020554015,0.475124435,1,0.68,0.748149128,5.078221158,4.472135955,2.236067977,1.228995425,1,3.535533906,4.468421333,5.003989901,16.898,0.85,1.082253613,0.120790109,0.14005635,0.076394373,0.120790109,0.072474065,0.226636639,0.076394373,0.136658408,0.120790109,0.072474065,0.004831604,0.262287346,0.076394373,0.127612907,0.119175221,0.120790109,0.072474065,0.004831604,0.080204632,0.169595507,0.076394373,0.245303937,0.119175221,0.124077674,0.120790109,0.072474065,0.004831604,0.080204632,0.123495807,541.8235294,206.1764706,8,
1,9,6,593,206,0.959931089,0.781938479,1,1,0.753982237,3.352821358,2.236067977,1,1,1,1,2.09,0,10,1,1.527887454,7.07E-17,0.713014145,0.509295818,6.32E-17,5.70E-17,1.038963469,0.835245141,0.264833825,1.41E-17,1.17E-16,5.65E-17,1.20193813,0.346321156,0.362618622,0.957476138,5.65E-17,9.48E-17,5.65E-17,8.87E-16,0.810798942,0.789612236,0.127935109,0.931400192,0.858061594,5.65E-17,5.10E-17,6.32E-17,8.80E-16,2.83E-16,594,206.5,9,
1,10,23,558,207,1.035922555,0.591848229,1,0.766666667,1.012201761,6.153304128,5.830951895,2.828427125,1.350915992,1,4,4.959867246,-52.08228263,16.898,0.901960784,0.861309104,0.127479354,0.055070915,0.100681923,0.063694319,0.039884334,0.052738499,0.100681923,0.047687926,0.011153728,0.045674743,0.039186832,0.109570159,0.100681923,0.044977585,0.03893912,0.012464974,0.071197543,0.04760403,0.037138418,0.092410183,0.100681923,0.108498262,0.03893912,0.047961704,0.020061702,0.056310733,0.050180785,0.039642903,0.041609723,557.826087,207.2173913,10,
